,Kanagawa,Tochigi,Chiba,Tokyo,Saitama,Ibaraki,Gunma
2019-09-22 00:00:00,17,5,12,48,11,4,5
2019-09-22 01:00:00,11,4,12,53,5,1,3
2019-09-22 02:00:00,18,2,15,35,10,7,4
2019-09-22 03:00:00,20,3,14,39,10,5,2
2019-09-22 04:00:00,13,2,8,26,6,4,2
2019-09-22 05:00:00,13,1,10,37,5,7,0
2019-09-22 06:00:00,21,3,12,47,14,4,4
2019-09-22 07:00:00,23,0,7,48,12,0,2
2019-09-22 08:00:00,18,2,11,51,7,2,4
2019-09-22 09:00:00,24,4,19,47,11,1,3
2019-09-22 10:00:00,24,1,23,74,12,3,5
2019-09-22 11:00:00,15,2,25,51,14,1,2
2019-09-22 12:00:00,30,4,11,65,23,4,4
2019-09-22 13:00:00,18,5,18,50,18,7,1
2019-09-22 14:00:00,16,6,12,39,4,4,2
2019-09-22 15:00:00,12,1,12,26,5,1,1
2019-09-22 16:00:00,8,1,2,18,4,0,0
2019-09-22 17:00:00,4,0,2,7,6,1,1
2019-09-22 18:00:00,3,1,4,9,0,2,0
2019-09-22 19:00:00,4,0,5,5,1,2,2
2019-09-22 20:00:00,15,2,2,7,9,3,5
2019-09-22 21:00:00,18,2,3,23,11,4,3
2019-09-22 22:00:00,11,4,23,38,21,9,3
2019-09-22 23:00:00,23,2,21,37,20,7,6
2019-09-23 00:00:00,31,5,25,39,12,11,5
2019-09-23 01:00:00,32,2,22,34,15,5,4
2019-09-23 02:00:00,31,5,11,38,20,2,1
2019-09-23 03:00:00,24,2,17,59,11,3,5
2019-09-23 04:00:00,23,1,18,33,10,7,3
2019-09-23 05:00:00,17,2,13,27,8,8,2
2019-09-23 06:00:00,14,2,7,21,4,9,2
2019-09-23 07:00:00,15,1,7,23,2,0,4
2019-09-23 08:00:00,9,0,20,25,4,3,0
2019-09-23 09:00:00,8,3,16,27,13,5,1
2019-09-23 10:00:00,7,3,14,19,7,0,3
2019-09-23 11:00:00,7,1,17,19,2,4,1
2019-09-23 12:00:00,9,1,11,18,4,2,3
2019-09-23 13:00:00,3,1,12,12,8,1,2
2019-09-23 14:00:00,2,1,4,11,7,1,1
2019-09-23 15:00:00,2,1,5,15,2,0,1
2019-09-23 16:00:00,0,0,1,5,1,0,0
2019-09-23 17:00:00,0,0,5,1,1,0,0
2019-09-23 18:00:00,0,0,3,1,1,0,0
2019-09-23 19:00:00,2,0,1,6,1,0,0
2019-09-23 20:00:00,4,1,1,3,0,0,0
2019-09-23 21:00:00,4,0,7,5,1,2,0
2019-09-23 22:00:00,5,0,6,19,3,1,2
2019-09-23 23:00:00,11,3,7,14,3,3,2
2019-09-24 00:00:00,4,0,4,8,6,0,1
2019-09-24 01:00:00,10,0,4,9,0,1,0
2019-09-24 02:00:00,4,0,5,9,3,1,1
2019-09-24 03:00:00,4,0,2,11,3,2,2
2019-09-24 04:00:00,5,1,4,12,3,2,4
2019-09-24 05:00:00,16,0,7,37,16,2,0
2019-09-24 06:00:00,11,4,29,41,8,9,1
2019-09-24 07:00:00,5,0,8,13,8,0,0
2019-09-24 08:00:00,3,0,4,11,3,5,0
2019-09-24 09:00:00,5,3,6,13,3,1,2
2019-09-24 10:00:00,6,0,9,11,3,3,1
2019-09-24 11:00:00,1,1,9,11,4,5,0
2019-09-24 12:00:00,4,0,3,7,3,4,3
2019-09-24 13:00:00,7,2,0,7,3,0,1
2019-09-24 14:00:00,8,0,5,15,1,0,1
2019-09-24 15:00:00,5,0,1,9,4,1,0
2019-09-24 16:00:00,2,0,4,7,2,0,0
2019-09-24 17:00:00,1,0,0,4,0,0,0
2019-09-24 18:00:00,3,0,1,4,0,0,0
2019-09-24 19:00:00,2,0,1,5,0,0,0
2019-09-24 20:00:00,1,0,2,0,2,0,0
2019-09-24 21:00:00,2,0,5,4,1,4,0
2019-09-24 22:00:00,2,0,5,11,3,0,1
2019-09-24 23:00:00,4,0,2,6,6,1,1
2019-09-25 00:00:00,1,1,5,6,1,1,0
2019-09-25 01:00:00,0,0,2,9,0,2,0
2019-09-25 02:00:00,2,1,1,3,1,0,0
2019-09-25 03:00:00,3,0,3,5,0,0,0
2019-09-25 04:00:00,3,1,5,3,2,2,0
2019-09-25 05:00:00,0,0,3,5,0,1,1
2019-09-25 06:00:00,2,0,3,5,2,0,0
2019-09-25 07:00:00,2,0,4,4,3,0,1
2019-09-25 08:00:00,3,0,5,8,0,0,0
2019-09-25 09:00:00,2,0,8,8,1,0,3
2019-09-25 10:00:00,3,0,4,6,3,0,0
2019-09-25 11:00:00,7,1,2,10,3,0,0
2019-09-25 12:00:00,2,1,1,7,0,1,0
2019-09-25 13:00:00,5,0,1,5,2,0,1
2019-09-25 14:00:00,5,2,1,5,3,1,2
2019-09-25 15:00:00,3,0,0,3,1,0,0
2019-09-25 16:00:00,3,1,1,5,0,0,1
2019-09-25 17:00:00,1,0,0,4,0,0,0
2019-09-25 18:00:00,1,0,0,1,0,0,0
2019-09-25 19:00:00,3,0,0,0,0,0,0
2019-09-25 20:00:00,0,0,1,5,0,1,0
2019-09-25 21:00:00,2,0,1,9,1,0,0
2019-09-25 22:00:00,4,0,3,2,2,0,2
2019-09-25 23:00:00,1,0,1,5,2,0,0
2019-09-26 00:00:00,4,1,5,4,1,0,0
2019-09-26 01:00:00,1,0,1,7,3,1,0
2019-09-26 02:00:00,4,0,3,4,0,0,0
2019-09-26 03:00:00,8,0,5,7,3,0,0
2019-09-26 04:00:00,2,0,2,4,2,2,1
2019-09-26 05:00:00,3,0,4,2,0,0,0
2019-09-26 06:00:00,2,0,2,9,2,1,0
2019-09-26 07:00:00,2,0,1,11,0,0,0
2019-09-26 08:00:00,1,0,2,6,2,0,0
